adresseGPS,latitude,longitude
"10 RUE DE LA GRANDE TRUANDERIE, Paris 75001",48.8628,2.34922
"83 RUE SAINT HONORE, Paris 75001",48.86117,2.34371
"4 RUE LINCOLN, Paris 75008",48.86983,2.30256
"48 RUE CHAPON, Paris 75003",48.86399,2.35419
"11B RUE ELZEVIR, Paris 75003",48.85868,2.36188
"1B RUE JEAN MERMOZ, Paris 75008",48.86997,2.31077
"322 RUE SAINT MARTIN, Paris 75003",48.86818,2.35531
"31 RUE DEBELLEYME, Paris 75003",48.86245,2.36392
"19 RUE DE BERRI, Paris 75008",48.87275,2.30459
"11 RUE DE SAINT PETERSBOURG, Paris 75008",48.88053,2.32449
"14 RUE DE MOSCOU, Paris 75008",48.88027,2.32585
"51 RUE DE MIROMESNIL, Paris 75008",48.8747,2.31575
"235 RUE DU FAUBOURG SAINT HONORE, Paris 75008",48.87743,2.29881
"30 RUE AU MAIRE, Paris 75003",48.86478,2.35575
"24 RUE DE SAINT PETERSBOURG, Paris 75008",48.88145,2.3255
"10 RUE LORD BYRON, Paris 75008",48.87342,2.29983
"8 AV DE FRIEDLAND, Paris 75008",48.87489,2.30381
"5 RUE SAINTE APOLLINE, Paris 75003",48.86872,2.35482
"56 RUE DES TOURNELLES, Paris 75003",48.85661,2.3674
"10 RUE ROGER VERLOMME, Paris 75003",48.85678,2.36653
"59 RUE AU MAIRE, Paris 75003",48.86497,2.35456
"22 RUE DE PENTHIEVRE, Paris 75008",48.87279,2.31529
"6 RUE ST PHILIPPE DU ROULE, Paris 75008",48.87312,2.3085
"4 RUE DE BERNE, Paris 75008",48.88034,2.32385
"36 RUE DE MONTPENSIER, Paris 75001",48.86593,2.33744
"6 RUE DU MARCHE ST HONORE, Paris 75001",48.86592,2.33118
"31 RUE DE MONTMORENCY, Paris 75003",48.86329,2.35416
"33 BD DE COURCELLES, Paris 75008",48.87534,2.30871
"139 RUE DU TEMPLE, Paris 75003",48.86371,2.35846
"108 RUE VIEILLE DU TEMPLE, Paris 75003",48.86096,2.36282
"314 RUE SAINT MARTIN, Paris 75003",48.86801,2.35519
"17 RUE JEAN MERMOZ, Paris 75008",48.87141,2.31185
"42 AV DE WAGRAM, Paris 75008",48.8773,2.29788
"11 RUE DES FILLES DU CALVAIRE, Paris 75003",48.86257,2.36553
"11 RUE DE PICARDIE, Paris 75003",48.86348,2.36234
"170 BD HAUSSMANN, Paris 75008",48.87518,2.30861
"7 RUE SAINT CLAUDE, Paris 75003",48.86006,2.36597
"17 RUE DU CYGNE, Paris 75001",48.86336,2.34836
"34 RUE DE TURENNE, Paris 75003",48.85731,2.36457
"113 BD BEAUMARCHAIS, Paris 75003",48.86089,2.36701
"25 RUE DE NAPLES, Paris 75008",48.87957,2.31906
"35 RUE PASTOURELLE, Paris 75003",48.86309,2.35873
"6 RUE DE THORIGNY, Paris 75003",48.85953,2.36259
"51 BD BEAUMARCHAIS, Paris 75003",48.85706,2.36793
"41 RUE DE COURCELLES, Paris 75008",48.87578,2.30828
"29 RUE D ANJOU, Paris 75008",48.87149,2.32167
"1 PL DES VICTOIRES, Paris 75001",48.8655,2.34078
"14 RUE BARBETTE, Paris 75003",48.85902,2.36048
"1 RUE LAMENNAIS, Paris 75008",48.87353,2.30324
"20 RUE DU LOUVRE, Paris 75001",48.86145,2.34126
"22 RUE DU VERTBOIS, Paris 75003",48.86688,2.35885
"19 RUE CHATEAUBRIAND, Paris 75008",48.8735,2.30084
"8 RUE RAMBUTEAU, Paris 75003",48.86037,2.35623
"119 RUE SAINT DENIS, Paris 75001",48.86294,2.34959
"14 RUE DE SAINT PETERSBOURG, Paris 75008",48.88082,2.32498
"11 RUE VILLEHARDOUIN, Paris 75003",48.85875,2.36516
"73 RUE CHARLOT, Paris 75003",48.86411,2.36391
"53 RUE FRANCOIS 1ER, Paris 75008",48.86966,2.30188
"48 RUE DE BERRI, Paris 75008",48.87456,2.30812
"193 RUE SAINT HONORE, Paris 75001",48.86474,2.33214
"52 RUE DU FAUBOURG SAINT HONORE, Paris 75008",48.86942,2.31988
"66 RUE NOTRE DAME DE NAZARETH, Paris 75003",48.86776,2.35656
"63 RUE DES GRAVILLIERS, Paris 75003",48.8644,2.3546
"15 RUE DE MARIGNAN, Paris 75008",48.86845,2.30622
"25 RUE ROYALE, Paris 75008",48.86903,2.32339
"76 RUE QUINCAMPOIX, Paris 75003",48.86209,2.3511
"6 RUE ARSENE HOUSSAYE, Paris 75008",48.87372,2.29835
"32 AV PIERRE 1ER DE SERBIE, Paris 75008",48.86769,2.29997
"20 RUE DE MIROMESNIL, Paris 75008",48.87267,2.31608
"2 RUE LAVOISIER, Paris 75008",48.87381,2.32235
"38 RUE DE PENTHIEVRE, Paris 75008",48.87227,2.313
"52 RUE DE ROME, Paris 75008",48.87917,2.32218
"48 RUE DU ROCHER, Paris 75008",48.87786,2.32054
"51 RUE DE NAPLES, Paris 75008",48.87912,2.31596
"12 RUE DU ROCHER, Paris 75008",48.87599,2.32294
"9 RUE DE PENTHIEVRE, Paris 75008",48.87299,2.31696
"41 RUE DU COLISEE, Paris 75008",48.87188,2.31129
"3 RUE SAINT ROCH, Paris 75001",48.86436,2.33148
"74 RUE DE TURBIGO, Paris 75003",48.86641,2.36072
"68 RUE DES ARCHIVES, Paris 75003",48.86199,2.35919
"13 RUE DE LA GRANDE TRUANDERIE, Paris 75001",48.86277,2.34903
"8 RUE VOLTA, Paris 75003",48.86476,2.35694
"304 RUE SAINT HONORE, Paris 75001",48.86509,2.33179
"9 RUE DU CYGNE, Paris 75001",48.86322,2.34908
"18 RUE CAFFARELLI, Paris 75003",48.8639,2.36233
"7 RUE DU PERCHE, Paris 75003",48.86071,2.36141
"17 RUE DE SAINT PETERSBOURG, Paris 75008",48.8813,2.32511
"130 RUE DU TEMPLE, Paris 75003",48.86345,2.35843
"62 RUE CHARLOT, Paris 75003",48.86379,2.3637
"12 RUE CAFFARELLI, Paris 75003",48.86371,2.36209
"237 RUE SAINT MARTIN, Paris 75003",48.86517,2.35327
"32 AV GEORGE V, Paris 75008",48.8689,2.30139
"67 BD BEAUMARCHAIS, Paris 75003",48.85788,2.36773
"31 RUE BOISSY D ANGLAS, Paris 75008",48.86963,2.3222
"79 RUE NOTRE DAME DE NAZARETH, Paris 75003",48.86804,2.35406
"34 RUE REAUMUR, Paris 75003",48.86531,2.3577
"26 RUE MONTMARTRE, Paris 75001",48.86422,2.34556
"35 RUE DE TURBIGO, Paris 75003",48.8647,2.35228
"9 RUE PORTALIS, Paris 75008",48.87739,2.3195
"4 SQ DU ROULE, Paris 75008",48.87674,2.29925
"31 RUE COQUILLIERE, Paris 75001",48.86424,2.34141
"12 AV DE WAGRAM, Paris 75008",48.8758,2.2968
"32 RUE MONTORGUEIL, Paris 75001",48.86385,2.34654
"6 RUE DU GRENIER SAINT LAZARE, Paris 75003",48.86284,2.35406
"13 RUE DE LA FERRONNERIE, Paris 75001",48.86019,2.34758
"12 RUE BERTIN POIREE, Paris 75001",48.85869,2.34488
"23 RUE DE RICHELIEU, Paris 75001",48.86469,2.33626
"19 RUE DE LA TREMOILLE, Paris 75008",48.86778,2.30412
"16 RUE VILLEHARDOUIN, Paris 75003",48.85884,2.36549
"37 BD MALESHERBES, Paris 75008",48.87322,2.32075
"29 BD DE COURCELLES, Paris 75008",48.87463,2.30939
"10 RUE QUENTIN BAUCHART, Paris 75008",48.86919,2.30001
"43 RUE REAUMUR, Paris 75003",48.86582,2.35396
"20 RUE REAUMUR, Paris 75003",48.86502,2.35859
"30 RUE MONTMARTRE, Paris 75001",48.86436,2.34548
"45 RUE DE TURENNE, Paris 75003",48.8577,2.36435
"53 AV MONTAIGNE, Paris 75008",48.8681,2.30797
"15 AV DE MESSINE, Paris 75008",48.87659,2.31217
"156 RUE SAINT HONORE, Paris 75001",48.86205,2.33999
"42 RUE DE SAINTONGE, Paris 75003",48.86281,2.36379
"5 BD DE SEBASTOPOL, Paris 75001",48.85831,2.34787
"16 RUE DEBELLEYME, Paris 75003",48.86102,2.36346
"18 RUE DE MIROMESNIL, Paris 75008",48.87255,2.31609
"11 RUE D ARTOIS, Paris 75008",48.87284,2.30778
"56 RUE BEAUBOURG, Paris 75003",48.86293,2.35456
"15 RUE DE MIROMESNIL, Paris 75008",48.8722,2.31595
"22 RUE DE SAINT PETERSBOURG, Paris 75008",48.8813,2.32538
"8 RUE JEAN JACQUES ROUSSEAU, Paris 75001",48.86224,2.34018
"26 AV MARCEAU, Paris 75008",48.86688,2.29972
"56 RUE SAINT HONORE, Paris 75001",48.86127,2.3438
"54 RUE DU COLISEE, Paris 75008",48.87202,2.312
"8 RUE DES COUTURES SAINT GERVAIS, Paris 75003",48.86002,2.36254
"4 RUE DES FILLES DU CALVAIRE, Paris 75003",48.86211,2.365
"16 RUE MONTGOLFIER, Paris 75003",48.86658,2.35751
"8 RUE VAUVILLIERS, Paris 75001",48.86161,2.34333
"15 RUE VIGNON, Paris 75008",48.87121,2.32616
"16 RUE VOLTA, Paris 75003",48.86492,2.35701
"7 RUE DES FONTAINES DU TEMPLE, Paris 75003",48.86556,2.35929
"20 RUE DU GRENIER SAINT LAZARE, Paris 75003",48.86301,2.35344
"259 RUE SAINT HONORE, Paris 75001",48.86729,2.32646
"12 RUE BEAUJON, Paris 75008",48.87497,2.30177
"50 BD MALESHERBES, Paris 75008",48.87687,2.31772
"28 RUE DE TURBIGO, Paris 75003",48.86442,2.35191
"5 RUE DES PYRAMIDES, Paris 75001",48.86441,2.33242
"14 CRS ALBERT 1ER, Paris 75008",48.86496,2.3084
"68 RUE SAINT HONORE, Paris 75001",48.86134,2.34343
"54 RUE DU VERTBOIS, Paris 75003",48.86732,2.35685
"72 RUE DES GRAVILLIERS, Paris 75003",48.86447,2.35462
"11 BD SAINT MARTIN, Paris 75003",48.86801,2.36092
"16 RUE CAFFARELLI, Paris 75003",48.86381,2.36221
"90 BD MALESHERBES, Paris 75008",48.88045,2.31336
"65 RUE DES GRAVILLIERS, Paris 75003",48.86442,2.35451
"165 BD HAUSSMANN, Paris 75008",48.87484,2.3081
"76 BD MALESHERBES, Paris 75008",48.87931,2.31475
"78 RUE VIEILLE DU TEMPLE, Paris 75003",48.85978,2.36057
"1B RUE CLEMENT MAROT, Paris 75008",48.86668,2.30456
"36 RUE DE TURIN, Paris 75008",48.88243,2.32446
"31 AV MONTAIGNE, Paris 75008",48.86661,2.3051
"17 RUE DUPHOT, Paris 75001",48.86845,2.32546
"52 RUE DU VERTBOIS, Paris 75003",48.8673,2.35695
"76 RUE DE TURENNE, Paris 75003",48.8605,2.36469
"13 RUE LA BOETIE, Paris 75008",48.87418,2.318
"4 RUE QUENTIN BAUCHART, Paris 75008",48.86882,2.29945
"23 BD SAINT MARTIN, Paris 75003",48.86531,2.35363
"1 RUE LORD BYRON, Paris 75008",48.87311,2.30144
"3 RUE JEAN GOUJON, Paris 75008",48.86658,2.30958
"26 RUE MICHEL LE COMTE, Paris 75003",48.86252,2.35525
"4 RUE BAYARD, Paris 75008",48.86531,2.308
"9 RUE DES GRAVILLIERS, Paris 75003",48.86357,2.35744
"92 RUE DE TURENNE, Paris 75003",48.8617,2.36472
"22 RUE DE PICARDIE, Paris 75003",48.86386,2.36292
"68 RUE SAINT DENIS, Paris 75001",48.86164,2.3492
"27 RUE DE RICHELIEU, Paris 75001",48.86492,2.33635
"40 RUE CHARLOT, Paris 75003",48.86264,2.36237
"6 RUE DU VERTBOIS, Paris 75003",48.86667,2.35987
"31B BD SAINT MARTIN, Paris 75003",48.86839,2.35835
"59 BD DE COURCELLES, Paris 75008",48.87732,2.3065
"72 RUE DE ROME, Paris 75008",48.8807,2.32137
"8 RUE ROY, Paris 75008",48.87544,2.31846
"12 RUE DES HAUDRIETTES, Paris 75003",48.86184,2.35721
"47 RUE DE COURCELLES, Paris 75008",48.87644,2.30762
"165 RUE SAINT HONORE, Paris 75001",48.86351,2.33467
"19 PL DE LA MADELEINE, Paris 75008",48.87075,2.324
"11B AV BEAUCOUR, Paris 75008",48.87744,2.30262
"74 RUE DU FAUBOURG SAINT HONORE, Paris 75008",48.87035,2.31782
"77 RUE CHARLOT, Paris 75003",48.86431,2.36415
"62 RUE DE MONCEAU, Paris 75008",48.87866,2.31284
"30 RUE DE CONSTANTINOPLE, Paris 75008",48.88076,2.31826
"80 RUE DE MIROMESNIL, Paris 75008",48.87744,2.31572
"70 RUE DU FAUBOURG SAINT HONORE, Paris 75008",48.87018,2.31812
"15 BD DES BATIGNOLLES, Paris 75008",48.88292,2.32549
"55 AV FRANKLIN D ROOSEVELT, Paris 75008",48.87101,2.30988
"14 RUE DE NORMANDIE, Paris 75003",48.86399,2.36399
"4 RUE DES FRANCS BOURGEOIS, Paris 75003",48.85657,2.36409
"8B RUE DE LA BAUME, Paris 75008",48.8745,2.31208
"22 AV DE L OPERA, Paris 75001",48.86613,2.33447
"6 RUE DE LA TREMOILLE, Paris 75008",48.86639,2.30201
"28 RUE PIERRE LESCOT, Paris 75001",48.8634,2.349
"9 RUE DE MARIGNAN, Paris 75008",48.86816,2.30616
"20 AV DE FRIEDLAND, Paris 75008",48.87454,2.30069
"75 RUE DES ARCHIVES, Paris 75003",48.86285,2.35999
"5 RUE DES PROUVAIRES, Paris 75001",48.86152,2.34409
"9 CITE DUPETIT THOUARS, Paris 75003",48.86616,2.36246
"2 RUE MALEVILLE, Paris 75008",48.87745,2.31466
"97 RUE DE TURENNE, Paris 75003",48.86146,2.36449
"49 RUE D AMSTERDAM, Paris 75008",48.87998,2.32693
"226 RUE SAINT MARTIN, Paris 75003",48.86408,2.35304
"17 RUE D ANJOU, Paris 75008",48.87043,2.32109
"6 SQ DU ROULE, Paris 75008",48.87659,2.29901
"2 AV VAN DYCK, Paris 75008",48.87812,2.30579
"1 RUE DU FOIN, Paris 75003",48.85683,2.36571
"9 RUE DE LA VILLE L EVEQUE, Paris 75008",48.87124,2.32111
"66 RUE DE SAINTONGE, Paris 75003",48.86414,2.36537
"21 RUE DU ROCHER, Paris 75008",48.87635,2.32213
"10 AV DE L OPERA, Paris 75001",48.86482,2.33505
"3 RUE DE TEHERAN, Paris 75008",48.87557,2.31268
"11 RUE DE BERRI, Paris 75008",48.87241,2.30396
"17 RUE DU GENERAL FOY, Paris 75008",48.87824,2.31781
"73 RUE DU ROCHER, Paris 75008",48.87976,2.31787
"8 RUE PORTEFOIN, Paris 75003",48.86364,2.3601
"27A RUE DU FAUBOURG SAINT HONORE, Paris 75008",48.86872,2.32082
"21 RUE DES PETITS CHAMPS, Paris 75001",48.86651,2.33767
"39 RUE D ARTOIS, Paris 75008",48.8741,2.30571
"85 BD DE COURCELLES, Paris 75008",48.87819,2.29951
"14 RUE DE LA CORDERIE, Paris 75003",48.86547,2.36288
"5 RUE DE TURBIGO, Paris 75001",48.86366,2.3477
"60 RUE DU VERTBOIS, Paris 75003",48.86744,2.35641
"7 RUE SAINT HYACINTHE, Paris 75001",48.86606,2.33138
"29 RUE DE BERNE, Paris 75008",48.88148,2.32256
"17 RUE DE LA TREMOILLE, Paris 75008",48.86768,2.30394
"58 RUE DE LONDRES, Paris 75008",48.87864,2.32478
"60 RUE DE PONTHIEU, Paris 75008",48.87205,2.3056
"30 RUE DE SAINT PETERSBOURG, Paris 75008",48.88224,2.32613
"33 RUE CHARLOT, Paris 75003",48.86251,2.36205
"6 RUE CROIX DES PETITS CHAMPS, Paris 75001",48.86254,2.33947
"22 RUE D ARTOIS, Paris 75008",48.87351,2.30699
"18 RUE MONTMARTRE, Paris 75001",48.86398,2.34569
"44 RUE D ARTOIS, Paris 75008",48.87443,2.30545
"46 RUE DE MOSCOU, Paris 75008",48.88181,2.32268
"19 PL DU MARCHE ST HONORE, Paris 75001",48.8666,2.33103
"40 RUE DE MONTMORENCY, Paris 75003",48.86351,2.35368
"28 RUE D ARTOIS, Paris 75008",48.87384,2.30643
"13 RUE DE LABORDE, Paris 75008",48.8757,2.32156
"192 BD HAUSSMANN, Paris 75008",48.87508,2.30538
"15 BD DU TEMPLE, Paris 75003",48.86408,2.36587
"16 RUE DU PARC ROYAL, Paris 75003",48.85887,2.3625
"46 RUE D ARTOIS, Paris 75008",48.8745,2.30534
"9 RUE VOLTA, Paris 75003",48.86501,2.35694
"2 RUE SAINT HONORE, Paris 75001",48.86093,2.34576
"79 BD DE COURCELLES, Paris 75008",48.87834,2.30018
"2B RUE DU BOULOI, Paris 75001",48.86309,2.33991
"7 RUE VAUVILLIERS, Paris 75001",48.86162,2.34323
"14 RUE RAMBUTEAU, Paris 75003",48.86056,2.35565
"27 RUE DES PETITS CHAMPS, Paris 75001",48.86664,2.33713
"33 RUE DE BERNE, Paris 75008",48.88168,2.32238
"187 RUE DU TEMPLE, Paris 75003",48.86561,2.36043
"81 BD DE COURCELLES, Paris 75008",48.87829,2.29996
"11 RUE HEROLD, Paris 75001",48.86489,2.34141
"6 RUE DE PONTHIEU, Paris 75008",48.87019,2.31132
"15 RUE DU LOUVRE, Paris 75001",48.8635,2.342
"19 RUE CLAPEYRON, Paris 75008",48.88204,2.32364
"73 BD BEAUMARCHAIS, Paris 75003",48.85822,2.36765
"3 RUE DU BOURG L ABBE, Paris 75003",48.86382,2.35237
"4 RUE SAINTE ELISABETH, Paris 75003",48.86584,2.35956
"7 RUE DE PONTHIEU, Paris 75008",48.87022,2.31083
"86 RUE DU ROCHER, Paris 75008",48.88031,2.31757
"8 RUE D ARGENTEUIL, Paris 75001",48.86495,2.33401
"3 RUE DE L ISLY, Paris 75008",48.87475,2.32611
"31 RUE CHARLOT, Paris 75003",48.8624,2.36192
"118 RUE VIEILLE DU TEMPLE, Paris 75003",48.86134,2.36351
"7 RUE DES FILLES DU CALVAIRE, Paris 75003",48.86244,2.36528
"114 RUE VIEILLE DU TEMPLE, Paris 75003",48.86126,2.36336
"3 RUE DE BRETAGNE, Paris 75003",48.86204,2.36396
"5 AV BERTIE ALBRECHT, Paris 75008",48.87562,2.3011
"44 RUE DE LABORDE, Paris 75008",48.87549,2.31673
"18 RUE MARBEUF, Paris 75008",48.86832,2.30339
"84 RUE NOTRE DAME DE NAZARETH, Paris 75003",48.86811,2.35429
"77 BD MALESHERBES, Paris 75008",48.87723,2.31665
"47 RUE DE TURBIGO, Paris 75003",48.8651,2.35403
"67 RUE MESLAY, Paris 75003",48.86846,2.356
"41 RUE SAINT HONORE, Paris 75001",48.86078,2.3455
"16 RUE SAINTE ANASTASE, Paris 75003",48.85981,2.36338
"8 RUE BAILLEUL, Paris 75001",48.86103,2.3417
"17 RUE NOTRE DAME DE NAZARETH, Paris 75003",48.86715,2.35991
"40 CRS ALBERT 1ER, Paris 75008",48.86486,2.30403
"179 RUE DU TEMPLE, Paris 75003",48.86533,2.36014
"80 RUE DES ARCHIVES, Paris 75003",48.86294,2.36032
"11B RUE PORTALIS, Paris 75008",48.87771,2.31959
"29 RUE DE MOSCOU, Paris 75008",48.88121,2.3235
"71 RUE D AMSTERDAM, Paris 75008",48.88148,2.32699
"26 AV MONTAIGNE, Paris 75008",48.8665,2.30577
"8 RUE COQUILLIERE, Paris 75001",48.86353,2.34359
"38 RUE FRANCOIS 1ER, Paris 75008",48.86823,2.3046
"2 RUE BLONDEL, Paris 75003",48.8685,2.35505
"9B RUE DU PERCHE, Paris 75003",48.86084,2.36118
"87 BD DE COURCELLES, Paris 75008",48.87815,2.29933
"4 RUE DE SAINTONGE, Paris 75003",48.86102,2.36167
"21 RUE JEAN JACQUES ROUSSEAU, Paris 75001",48.86276,2.34089
"8 RUE MAGELLAN, Paris 75008",48.87031,2.30004
"50 RUE CHAPON, Paris 75003",48.86404,2.35401
"39 RUE SAINT ROCH, Paris 75001",48.86629,2.33278
"96 RUE DES ARCHIVES, Paris 75003",48.86354,2.36098
"12 RUE D EDIMBOURG, Paris 75008",48.87949,2.32063
"31 RUE MESLAY, Paris 75003",48.86778,2.35943
"16 RUE THERESE, Paris 75001",48.86637,2.33521
"21 RUE D EDIMBOURG, Paris 75008",48.87932,2.31989
"103 RUE DU TEMPLE, Paris 75003",48.8623,2.35726
"38 RUE DE SAINTONGE, Paris 75003",48.86269,2.36366
"18 RUE DE BERRI, Paris 75008",48.87288,2.30511
"6 RUE DE TURIN, Paris 75008",48.87976,2.32542
"147 RUE SAINT MARTIN, Paris 75003",48.8618,2.35164
"19 RUE DU BOULOI, Paris 75001",48.8638,2.34109
"11 RUE CLAPEYRON, Paris 75008",48.88161,2.32395
"20 RUE DES HALLES, Paris 75001",48.86006,2.34663
"60 RUE DE L ARBRE SEC, Paris 75001",48.86118,2.34261
"247 RUE SAINT MARTIN, Paris 75003",48.86614,2.35371
"3 RUE DU JOUR, Paris 75001",48.86346,2.34407
"15 RUE AU MAIRE, Paris 75003",48.86456,2.35659
"19 RUE BERANGER, Paris 75003",48.8664,2.36341
"1 RUE DES INNOCENTS, Paris 75001",48.86034,2.34817
"260 RUE SAINT HONORE, Paris 75001",48.86421,2.33359
"6 RUE HEROLD, Paris 75001",48.8647,2.34123
"17 RUE DE LA VILLE L EVEQUE, Paris 75008",48.87148,2.3203
"18 RUE DE LA GRANDE TRUANDERIE, Paris 75001",48.86289,2.34888
"24 RUE CHARLOT, Paris 75003",48.86218,2.36183
"12 RUE DES FILLES DU CALVAIRE, Paris 75003",48.86254,2.36583
"14 RUE DE LA PEPINIERE, Paris 75008",48.87519,2.32232
"56 RUE DU ROCHER, Paris 75008",48.87841,2.31975
"48 RUE DE LA BIENFAISANCE, Paris 75008",48.87663,2.31446
"33B RUE DE MOSCOU, Paris 75008",48.88153,2.3229
"86 RUE LA BOETIE, Paris 75008",48.87246,2.30963
"74 RUE DE TURENNE, Paris 75003",48.86041,2.36468
"4 AV HOCHE, Paris 75008",48.8778,2.30421
"12 CITE DUPETIT THOUARS, Paris 75003",48.86616,2.3626
"4 RUE DE MOSCOU, Paris 75008",48.87985,2.32668
"170 RUE DU TEMPLE, Paris 75003",48.86646,2.36176
"50 RUE VOLTA, Paris 75003",48.86672,2.35818
"14 RUE LINCOLN, Paris 75008",48.87052,2.30316
"38 RUE DE LABORDE, Paris 75008",48.87555,2.31734
"25 RUE DU MONT THABOR, Paris 75001",48.86677,2.32513
"20 RUE DES QUATRE FILS, Paris 75003",48.86081,2.35915
"27 RUE CAMBACERES, Paris 75008",48.87361,2.31771
"14 RUE FROISSART, Paris 75003",48.8619,2.36492
"36A RUE MONTORGUEIL, Paris 75001",48.86397,2.34671
"99 RUE QUINCAMPOIX, Paris 75003",48.86277,2.35131
"25 BD DE SEBASTOPOL, Paris 75001",48.86022,2.34893
"23 BD DES BATIGNOLLES, Paris 75008",48.88277,2.32475
